ALIQUOT_PLATE_BARCODE,ALIQUOT_WELL_ID,ALIQUOT_CONCENTRATION,ALIQUOT_CONCENTRATION_UNIT,TARGET_CONCENTRATION,TARGET_CONCENTRATION_UNIT,EPA_SAMPLE_ID,ALIQUOT_VOLUME,ALIQUOT_VOLUME_UNIT,ALIQUOT_SOLVENT,BOTTLE_ID,DTXSID,CASRN,PREFERRED_NAME
EPAPLT0727,A02,19.9997,mM,20,mM,EPAPLT0727A02,200,uL,DMSO,TX001001,DTXSID1024338,23564-05-8,Thiophanate-methyl
EPAPLT0727,A03,20,mM,20,mM,EPAPLT0727A03,200,uL,DMSO,TX000677,DTXSID2034625,361377-29-9,Fluoxastrobin
EPAPLT0727,A04,20,mM,20,mM,EPAPLT0727A04,200,uL,DMSO,1096462505,DTXSID8023846,30560-19-1,Acephate
EPAPLT0727,A05,20.0005,mM,20,mM,EPAPLT0727A05,200,uL,DMSO,1096461325,DTXSID7032553,62924-70-3,Flumetralin
EPAPLT0727,A06,30,mM,20,mM,EPAPLT0727A06,200,uL,DMSO,1223291193,DTXSID8031865,335-67-1,Perfluorooctanoic acid
EPAPLT0727,A08,20.0005,mM,20,mM,EPAPLT0727A08,200,uL,DMSO,1223291189,DTXSID6032649,7696-12-0,Tetramethrin
EPAPLT0727,A09,20.0004,mM,20,mM,EPAPLT0727A09,200,uL,DMSO,TX000922,DTXSID1022265,15972-60-8,Alachlor
EPAPLT0727,A10,20.0002,mM,20,mM,EPAPLT0727A10,200,uL,DMSO,TX000870,DTXSID5024211,15299-99-7,Napropamide
EPAPLT0727,A11,20,mM,20,mM,EPAPLT0727A11,200,uL,DMSO,1096462251,DTXSID4032613,122-14-5,Fenitrothion
EPAPLT0727,A12,19.9998,mM,20,mM,EPAPLT0727A12,200,uL,DMSO,TX000949,DTXSID8022292,52645-53-1,Permethrin
EPAPLT0727,B03,19.9997,mM,20,mM,EPAPLT0727B03,200,uL,DMSO,TX000908,DTXSID3023897,43121-43-3,Triadimefon
EPAPLT0727,B04,20.0004,mM,20,mM,EPAPLT0727B04,200,uL,DMSO,1096458558,DTXSID1020560,115-29-7,Endosulfan
EPAPLT0727,B05,20.0009,mM,20,mM,EPAPLT0727B05,200,uL,DMSO,1096459336,DTXSID8022325,2971-36-0,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane"
EPAPLT0727,B06,20.0004,mM,20,mM,EPAPLT0727B06,200,uL,DMSO,1223291192,DTXSID3020122,86-50-0,Azinphos-methyl
EPAPLT0727,B07,20.0005,mM,20,mM,EPAPLT0727B07,200,uL,DMSO,1223291237,DTXSID9020827,72-43-5,Methoxychlor
EPAPLT0727,B08,19.9996,mM,20,mM,EPAPLT0727B08,200,uL,DMSO,1223291183,DTXSID8023848,34256-82-1,Acetochlor
EPAPLT0727,B09,20,mM,20,mM,EPAPLT0727B09,200,uL,DMSO,1096461786,DTXSID0037495,1007-28-9,Deisopropylatrazine
EPAPLT0727,B10,19.9997,mM,20,mM,EPAPLT0727B10,200,uL,DMSO,TX000934,DTXSID3024239,19666-30-9,Oxadiazon
EPAPLT0727,B12,20.0014,mM,20,mM,EPAPLT0727B12,200,uL,DMSO,TX000065,DTXSID1023998,52315-07-8,Cypermethrin
EPAPLT0727,C02,20.0006,mM,20,mM,EPAPLT0727C02,200,uL,DMSO,TX000719,DTXSID6032352,5598-13-0,Chlorpyrifos-methyl
EPAPLT0727,C03,20.0002,mM,20,mM,EPAPLT0727C03,200,uL,DMSO,TX002814,DTXSID9034492,120116-88-3,"4-Chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide"
EPAPLT0727,C04,19.9998,mM,20,mM,EPAPLT0727C04,200,uL,DMSO,1096458037,DTXSID6024048,43222-48-6,Difenzoquat metilsulfate
EPAPLT0727,C05,20.0005,mM,20,mM,EPAPLT0727C05,200,uL,DMSO,1223291184,DTXSID8024280,60207-90-1,Propiconazole
EPAPLT0727,C06,20,mM,20,mM,EPAPLT0727C06,200,uL,DMSO,1223291191,DTXSID7020182,80-05-7,Bisphenol A
EPAPLT0727,C07,19.732,mM,20,mM,EPAPLT0727C07,200,uL,DMSO,1223291236,DTXSID9020243,133-06-2,Captan
EPAPLT0727,C10,20,mM,20,mM,EPAPLT0727C10,200,uL,DMSO,TX000988,DTXSID9021976,122-99-6,2-Phenoxyethanol
EPAPLT0727,C12,19.9994,mM,20,mM,EPAPLT0727C12,200,uL,DMSO,TX000765,DTXSID4032580,141517-21-7,Trifloxystrobin
EPAPLT0727,D03,20,mM,20,mM,EPAPLT0727D03,200,uL,DMSO,EV0004570,DTXSID0034566,155569-91-8,Emamectin benzoate
EPAPLT0727,D04,20.0005,mM,20,mM,EPAPLT0727D04,200,uL,DMSO,1096460174,DTXSID5034270,104098-48-8,Imazapic
EPAPLT0727,D05,20.0003,mM,20,mM,EPAPLT0727D05,200,uL,DMSO,1096458511,DTXSID6032647,21564-17-0,2-(Thiocyanomethylthio)benzothiazole
EPAPLT0727,D06,20,mM,20,mM,EPAPLT0727D06,200,uL,DMSO,1223291190,DTXSID2020347,56-72-4,Coumaphos
EPAPLT0727,D07,19.6809,mM,20,mM,EPAPLT0727D07,200,uL,DMSO,1223291235,DTXSID8035180,584-79-2,Allethrin
EPAPLT0727,D08,20,mM,20,mM,EPAPLT0727D08,200,uL,DMSO,1223291181,DTXSID7024902,533-74-4,Dazomet
EPAPLT0727,D09,20,mM,20,mM,EPAPLT0727D09,200,uL,DMSO,1096460158,DTXSID4024018,1918-00-9,Dicamba
EPAPLT0727,D10,20.1492,mM,20,mM,EPAPLT0727D10,200,uL,DMSO,TX001589,DTXSID4032405,23422-53-9,Formetanate hydrochloride
EPAPLT0727,D11,19.9995,mM,20,mM,EPAPLT0727D11,200,uL,DMSO,1096460232,DTXSID5034303,81406-37-3,Fluroxypyr-meptyl
EPAPLT0727,D12,20.0007,mM,20,mM,EPAPLT0727D12,200,uL,DMSO,TX000710,DTXSID9032329,741-58-2,Bensulide
EPAPLT0727,E02,20,mM,20,mM,EPAPLT0727E02,200,uL,DMSO,EVT9003949,DTXSID5035957,68359-37-5,Cyfluthrin
EPAPLT0727,E03,20,mM,20,mM,EPAPLT0727E03,200,uL,DMSO,EV0004568,DTXSID5020601,96-45-7,"4,5-Dihydro-2-mercaptoimidazole"
EPAPLT0727,E04,19.9998,mM,20,mM,EPAPLT0727E04,200,uL,DMSO,TX000663,DTXSID8024151,35554-44-0,Imazalil
EPAPLT0727,E05,20.0168,mM,20,mM,EPAPLT0727E05,200,uL,DMSO,1223291182,DTXSID2032390,60168-88-9,Fenarimol
EPAPLT0727,E07,19.9997,mM,20,mM,EPAPLT0727E07,200,uL,DMSO,1223291234,DTXSID9020112,1912-24-9,Atrazine
EPAPLT0727,E08,20,mM,20,mM,EPAPLT0727E08,200,uL,DMSO,1223291180,DTXSID2032637,123312-89-0,Pymetrozine
EPAPLT0727,E09,19.9996,mM,20,mM,EPAPLT0727E09,200,uL,DMSO,1096462440,DTXSID3032547,2593-15-9,Etridiazole
EPAPLT0727,E10,19.9997,mM,20,mM,EPAPLT0727E10,200,uL,DMSO,TX000775,DTXSID6034392,188425-85-6,Boscalid
EPAPLT0727,E12,19.996,mM,20,mM,EPAPLT0727E12,200,uL,DMSO,TX011592,DTXSID5020607,117-81-7,Di(2-ethylhexyl) phthalate
EPAPLT0727,F02,20,mM,20,mM,EPAPLT0727F02,200,uL,DMSO,EVT9003948,DTXSID1020194,10043-35-3,Boric acid (H3BO3)
EPAPLT0727,F03,19.9997,mM,20,mM,EPAPLT0727F03,200,uL,DMSO,TX000967,DTXSID2024163,330-55-2,Linuron
EPAPLT0727,F04,20,mM,20,mM,EPAPLT0727F04,200,uL,DMSO,1096461661,DTXSID0032578,59669-26-0,Thiodicarb
EPAPLT0727,F05,19.9871,mM,20,mM,EPAPLT0727F05,200,uL,DMSO,1096462236,DTXSID1034634,68157-60-8,Forchlorfenuron
EPAPLT0727,F06,20,mM,20,mM,EPAPLT0727F06,200,uL,DMSO,1223291188,DTXSID9020247,63-25-2,"1-Naphthalenol, 1-(N-methylcarbamate)"
EPAPLT0727,F07,20.0003,mM,20,mM,EPAPLT0727F07,200,uL,DMSO,TX000781,DTXSID2032392,66441-23-4,Fenoxaprop-ethyl
EPAPLT0727,F08,20.0003,mM,20,mM,EPAPLT0727F08,200,uL,DMSO,1223291179,DTXSID2034962,153719-23-4,Thiamethoxam
EPAPLT0727,F09,20,mM,20,mM,EPAPLT0727F09,200,uL,DMSO,1096462212,DTXSID3034612,69806-50-4,Fluazifop-butyl
EPAPLT0727,F10,20,mM,20,mM,EPAPLT0727F10,200,uL,DMSO,EV0008264,DTXSID5020154,120-32-1,Clorophene
EPAPLT0727,F11,8.90263,mM,20,mM,EPAPLT0727F11,200,uL,DMSO,1096458359,DTXSID0022018,298-04-4,Disulfoton
EPAPLT0727,F12,20,mM,20,mM,EPAPLT0727F12,200,uL,DMSO,EV0014321,DTXSID5032498,3380-34-5,Triclosan
EPAPLT0727,G02,20,mM,20,mM,EPAPLT0727G02,200,uL,DMSO,TX014124,DTXSID4034609,120068-37-3,Fipronil
EPAPLT0727,G03,19.9985,mM,20,mM,EPAPLT0727G03,200,uL,DMSO,TX017664,DTXSID0032493,55219-65-3,Triadimenol
EPAPLT0727,G04,20.0015,mM,20,mM,EPAPLT0727G04,200,uL,DMSO,1223291185,DTXSID5021332,137-26-8,Bis(dimethylaminothiocarbonyl) disulfide
EPAPLT0727,G05,20,mM,20,mM,EPAPLT0727G05,200,uL,DMSO,1096462260,DTXSID4034528,145701-21-9,Diclosulam
