DTXSID,Chemical,CASRN,SMILES,Library,Max conc,Median % activity,Tested in CR?,dataset,Comment,UVCB/Markush,NEUTRAL/SALT PAIRS,AQC,QualityCall,T0,T4,Call,SMILES,QSAR_READY_SMILES,MOLECULAR_FORMULA,AVERAGE_MASS,DTXSID,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED
DTXSID8025886,"Ethyl 2,3-epoxy-3-phenylpropionate",121-39-1,CCOC(=O)C1OC1C1=CC=CC=C1,e1k,100,40.1047318,N,training,,,,Z-Z-S Unknown,Unknown,Z,Z,S,CCOC(=O)C1OC1C1=CC=CC=C1,CCOC(=O)C1OC1C1=CC=CC=C1,C11H12O3,192.214,DTXSID8025886,1.93013,0.00110956
DTXSID1048209,tert-Butyl phenyl ketone,938-16-9,CC(C)(C)C(=O)C1=CC=CC=C1,e1k,,,,blind test,,,,Z-ND Unknown,Unknown,Z,ND, ,CC(C)(C)C(=O)C1=CC=CC=C1,CC(C)(C)C(=O)C1=CC=CC=C1,C11H14O,162.232,DTXSID1048209,3.00096,0.0895283
DTXSID1032646,N-Ethylperfluorooctanesulfonamide,4151-50-2,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,96.264,94.65502694,Y,training,PFAS,,,Z-Bc-T Fail,Fail,Z,Bc,T,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H6F17NO2S,527.2,DTXSID1032646,6.79567,5.02E-06
DTXSID9048196,4-tert-Butylbenzenethiol,2396-68-1,CC(C)(C)C1=CC=C(S)C=C1,e1k,100.001,37.94364052,N,training,,,,Z-A-S Pass,Pass,Z,A,S,CC(C)(C)C1=CC=C(S)C=C1,CC(C)(C)C1=CC=C(S)C=C1,C10H14S,166.28,DTXSID9048196,3.85035,0.212102
DTXSID7044390,N-Methylhydrazinecarbothioamide,6610-29-3,CNC(=S)NN,e1k,,,,blind test,,,,Z-Ac-X,Fail,Z,Ac,X,CNC(=S)NN,CNC(=S)NN,C2H7N3S,105.16,DTXSID7044390,-0.683974,4.25E-05
DTXSID6023523,Propofol,2078-54-8,CC(C)C1=CC=CC(C(C)C)=C1O,e1k,100.002,65.9137931,N,training,,,,Z-Ac-L Fail,Fail,Z,Ac,L,CC(C)C1=CC=CC(C(C)C)=C1O,CC(C)C1=CC=CC(C(C)C)=C1O,C12H18O,178.275,DTXSID6023523,3.79056,0.0193551
DTXSID1037303,Perfluoroheptanoic acid,375-85-9,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,100.001,102.1818419,Y,training,PFAS,,,U-U-X UNKNOWN,Unknown,U,U,X,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7HF13O2,364.062,DTXSID1037303,2.05938,0.0667766
DTXSID8031863,Perfluorononanoic acid,375-95-1,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,99.997,104.705406,Y,training,PFAS,,,U-U-X UNKNOWN,Unknown,U,U,X,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9HF17O2,464.078,DTXSID8031863,3.53773,0.00843675
DTXSID8031865,Perfluorooctanoic acid,335-67-1,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph1_v2,150,103.5469141,Y,training,PFAS,,D,U-U Unknown,Unknown,U,U, ,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF15O2,414.07,DTXSID8031865,3.10642,0.11083
DTXSID8037708,Ammonium perfluorooctanoate,3825-26-1,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,100.003,104.2461399,Y,training,PFAS,,D,U-U Unknown,Unknown,U,U, ,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H4F15NO2,431.101,DTXSID8037708,3.89004,0.11083
DTXSID3031864,Perfluorooctanesulfonic acid,1763-23-1,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph1_v2,150,104.8813908,Y,training,PFAS,,B,U-U Unknown,Unknown,U,U, ,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF17O3S,500.13,DTXSID3031864,5.60926,2.48E-06
DTXSID9021477,Sodium tetrafluoroborate,13755-29-8,[Na+].F[B-](F)(F)F,e1k,100,8.460471567,N,training,<100 Mas,,,U-U Unknown,Unknown,U,U, ,[Na+].F[B-](F)(F)F, ,BF4Na,109.79,DTXSID9021477, , 
DTXSID7029904,Fluorotelomer alcohol 8:2,678-39-7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,100,45.82429819,N,training,,,,U-U Unknown,Unknown,U,U, ,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H5F17O,464.122,DTXSID7029904,5.70013,0.207088
DTXSID3047425,4-Butylphenol,1638-22-8,CCCCC1=CC=C(O)C=C1,e1k,,,,blind test,,,,U-U Unknown,Unknown,U,U, ,CCCCC1=CC=C(O)C=C1,CCCCC1=CC=C(O)C=C1,C10H14O,150.221,DTXSID3047425,3.64666,0.00227251
DTXSID0025816,Oxalic acid,144-62-7,OC(=O)C(O)=O,e1k,100.0315,18.46707582,N,training,<100 Mas,,,U-U Unknown,Unknown,U,U, ,OC(=O)C(O)=O,OC(=O)C(O)=O,C2H2O4,90.034,DTXSID0025816,-0.85548,0.000234582
DTXSID9020794,Maneb,12427-38-2,[Mn++].[S-]C(=S)NCCNC([S-])=S,ph1_v2,49.9991,37.4135937,N,training,,,,U-U Unknown,Unknown,U,U, ,[Mn++].[S-]C(=S)NCCNC([S-])=S,SC(=S)NCCNC(S)=S,C4H6MnN2S4,265.28,DTXSID9020794,-2.70445,1.92E-06
DTXSID7020895,Mirex,2385-85-5,ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,ph2,100,17.6308879,N,training,,,,U-U Unknown,Unknown,U,U, ,ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,C10Cl12,545.51,DTXSID7020895,6.88879,7.92E-07
DTXSID7026102,Tetrachlorophthalic anhydride,117-08-8,ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl,e1k,,,,blind test,,,,U-U Unknown,Unknown,D,U,X,ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl,ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl,C8Cl4O3,285.89,DTXSID7026102,2.65627,2.28E-07
DTXSID5044493,1-[3-(Triethoxysilyl)propyl]urea,23779-32-0,CCO[Si](CCCNC(N)=O)(OCC)OCC,ph2,100.0015,-29.48875759,N,training,SILICON,,,U-U Unknown,Unknown,U,U, ,CCO[Si](CCCNC(N)=O)(OCC)OCC,CCO[Si](CCCNC(N)=O)(OCC)OCC,C10H24N2O4Si,264.397,DTXSID5044493,1.16233,1.82E-07
DTXSID5024057,Dimethylamine,124-40-3,CNC,e1k,,,,leaderboard,<100 Mas,,,U-ND-L Fail,Fail,U,ND,S,CNC,CNC,C2H7N,45.085,DTXSID5024057,-0.379175,1508.6
DTXSID1020516,"1,1-Dimethylhydrazine",57-14-7,CN(C)N,e1k,,,,leaderboard,<100 Mas,,,U-ND-L Fail,Fail,U,ND,L,CN(C)N,CN(C)N,C2H8N2,60.1,DTXSID1020516,-0.745985,163.696
DTXSID2047517,"Hexanedioic acid, di-C7-9-branched and linear alkyl esters",68515-75-3, ,e1k,99.997,11.58843498,N,training,,X,,U-M-X Unknown,Unknown,U,M,X, , , , ,DTXSID2047517, , 
DTXSID9047708,Igepal CO-890,NOCAS_47708, ,e1k,100,2.789287519,N,training,,X,,U-M Unknown,Unknown,U,M, , , , , ,DTXSID9047708, , 
DTXSID8040775,Terpineol,8000-41-7, ,e1k,99.9985,3.566932438,N,training,,X,,U-M Unknown,Unknown,U,M, , , , , ,DTXSID8040775, , 
DTXSID3022247,Nerolidol,7212-44-4,CC(C)=CCCC(C)=CCCC(C)(O)C=C,e1k,100.0295,75.36146264,N,training,,,,U-I-S Pass,Pass,U,I,S,CC(C)=CCCC(C)=CCCC(C)(O)C=C,CC(C)=CCCC(C)=CCCC(C)(O)C=C,C15H26O,222.372,DTXSID3022247,4.86179,0.00653336
DTXSID9041815,"3,3,5-Trimethylcyclohexanol",116-02-9,CC1CC(O)CC(C)(C)C1,e1k,100.014,9.819921994,N,training,,,,U-I-S Pass,Pass,U,I,S,CC1CC(O)CC(C)(C)C1,CC1CC(O)CC(C)(C)C1,C9H18O,142.242,DTXSID9041815,3.1342,0.350778
DTXSID0023745,D-Xylose,58-86-6,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,e1k,,,,leaderboard,,,,U-I Unknown,Unknown,U,I, ,OC[C@@H](O)[C@H](O)[C@@H](O)C=O, ,C5H10O5,150.13,DTXSID0023745, , 
DTXSID7027388,Diisooctyl adipate,1330-86-5, ,e1k,100,21.02235627,N,training,,X,,U-I Unknown,Unknown,U,I, , , , , ,DTXSID7027388, , 
DTXSID2025216,Divinylbenzene,1321-74-0,"*C=C.C=CC1=CC=CC=C1 |c:6,8,t:4,m:0:6.8|",e1k,100,23.83734868,N,training,,X,,U-I Unknown,Pass,U,I, ,"*C=C.C=CC1=CC=CC=C1 |c:6,8,t:4,m:0:8.6|", ,C10H10,130.19,DTXSID2025216, , 
DTXSID0029761,Sodium dichloroisocyanurate dihydrate,51580-86-0,O.O.[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,e1k,99.9985,15.92399976,N,training,,,,U-F-T Fail,Fail,U,F,T,O.O.[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,ClN1C(=O)NC(=O)N(Cl)C1=O,C3H4Cl2N3NaO5,255.97,DTXSID0029761,0.367354,0.000478976
DTXSID3024994,Sodium dichloroisocyanurate,2893-78-9,[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,e1k,99.9985,13.80044346,N,training,,,,U-F-T Fail,Fail,U,F,T,[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,ClN1C(=O)NC(=O)N(Cl)C1=O,C3Cl2N3NaO3,219.94,DTXSID3024994,0.355647,0.000201211
DTXSID1025306,5-Ethylidene-2-norbornene,16219-75-3,CC=C1CC2CC1C=C2,e1k,,,,blind test,,,,U-Fns-L Fail,Fail,U,Fns,L,CC=C1CC2CC1C=C2,CC=C1CC2CC1C=C2,C9H12,120.195,DTXSID1025306,3.81982,2.41799
DTXSID9021639,Nonanal,124-19-6,CCCCCCCCC=O,e1k,,,,blind test,,,,U-Fns-L Fail,Fail,U,Fns,L,CCCCCCCCC=O,CCCCCCCCC=O,C9H18O,142.242,DTXSID9021639,3.30208,0.371162
DTXSID4034576,2-Bromo-4-hydroxyacetophenone,2491-38-5,OC1=CC=C(C=C1)C(=O)CBr,e1k,100,104.3015521,Y,training,,,,U-D-T Fail,Fail,U,D,T,OC1=CC=C(C=C1)C(=O)CBr,OC1=CC=C(C=C1)C(=O)CBr,C8H7BrO2,215.046,DTXSID4034576,2.57146,4.95E-06
DTXSID0034518,Desmedipham,13684-56-5,CCOC(=O)NC1=CC(OC(=O)NC2=CC=CC=C2)=CC=C1,e1k,,,,blind test,,,,U-D-T Fail,Fail,U,D,T,CCOC(=O)NC1=CC(OC(=O)NC2=CC=CC=C2)=CC=C1,CCOC(=O)NC1=CC(OC(=O)NC2=CC=CC=C2)=CC=C1,C16H16N2O4,300.314,DTXSID0034518,3.38987,2.92E-09
DTXSID3032389,Farnesol,4602-84-0,CC(C)=CCCC(C)=CCCC(C)=CCO,e1k,100,89.97052614,Y,training,,,,U-Cc Pass,Pass,U,Cc, ,CC(C)=CCCC(C)=CCCC(C)=CCO,CC(C)=CCCC(C)=CCCC(C)=CCO,C15H26O,222.372,DTXSID3032389,4.91156,0.00229965
DTXSID0029210,Butyltin trichloride,1118-46-3,CCCC[Sn](Cl)(Cl)Cl,e1k,,,,leaderboard,,,,U-B-T Pass,Pass,U,B ,T,CCCC[Sn](Cl)(Cl)Cl, ,C4H9Cl3Sn,282.18,DTXSID0029210, , 
DTXSID4040343,Benzyl bromoacetate,5437-45-6,BrCC(=O)OCC1=CC=CC=C1,e1k,,,,blind test,,,,U-B-T Pass,Pass,U,B,T,BrCC(=O)OCC1=CC=CC=C1,BrCC(=O)OCC1=CC=CC=C1,C9H9BrO2,229.073,DTXSID4040343,2.49056,0.00735519
DTXSID7027461,Thiocarbazide,2231-57-4,NNC(=S)NN,e1k,100.021,34.10819949,N,training,<100 Mas,,,U-Bc-T Fail,Fail,U,Bc,T,NNC(=S)NN,NNC(=S)NN,CH6N4S,106.15,DTXSID7027461,-1.04838,9.44E-08
DTXSID4040711,Ethyl 2-methylbenzoate,87-24-1,CCOC(=O)C1=C(C)C=CC=C1,e1k,,,,blind test,,,,U-Bc-L Fail,Fail,U,Bc,L,CCOC(=O)C1=C(C)C=CC=C1,CCOC(=O)C1=C(C)C=CC=C1,C10H12O2,164.204,DTXSID4040711,2.62145,0.0253309
DTXSID7021150,Phenylmercuric acetate,62-38-4,CC(=O)O[Hg]C1=CC=CC=C1,ph2,100.002,4.192775259,N,training,,,,U-A-S Pass,Pass,U,A,S,CC(=O)O[Hg]C1=CC=CC=C1, ,C8H8HgO2,336.74,DTXSID7021150, , 
DTXSID5044570,"1,2-Ethanediamine dihydroiodide",5700-49-2,I.I.NCCN,e1k,100,13.43792841,N,training,,,,U-A-S Pass,Pass,D,A,S,I.I.NCCN,NCCN,C2H10I2N2,315.925,DTXSID5044570,-2.33494,11.9447
DTXSID5048188,4-Thiocresol,106-45-6,CC1=CC=C(S)C=C1,e1k,,,,blind test,,,,U-A-S Pass,Pass,U,A,S,CC1=CC=C(S)C=C1,CC1=CC=C(S)C=C1,C7H8S,124.2,DTXSID5048188,2.45513,0.645558
DTXSID3038808,"1,3,5,7-Tetramethyl-1,3,5,7-tetravinylcyclotetrasiloxane",6/5/2554,C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C,e1k,99.999,99.73330936,Y,training,,,,U-A-S Pass,Pass,U,A,S,C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C,C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C,C12H24O4Si4,344.66,DTXSID3038808,7.70281,0.226256
DTXSID4027282,Phenyl phosphorus dichloride,644-97-3,ClP(Cl)C1=CC=CC=C1,e1k,99.9385,11.18055292,N,training,,,,U-A-S Pass,Pass,U,A,S,ClP(Cl)C1=CC=CC=C1,ClP(Cl)C1=CC=CC=C1,C6H5Cl2P,178.98,DTXSID4027282,3.82381,0.0629566
DTXSID0044818,2-Butyloctan-1-ol,2/8/3913,CCCCCCC(CO)CCCC,e1k,,,,blind test,,,,U-A-S Pass,Pass,U,A,S,CCCCCCC(CO)CCCC,CCCCCCC(CO)CCCC,C12H26O,186.339,DTXSID0044818,4.81641,0.0602689
DTXSID2042060,Isoborneol,124-76-5,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,e1k,100,-7.800372057,N,training,,,,U-A-S Pass,Pass,U,A,S,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,CC1(C)C2CCC1(C)C(O)C2,C10H18O,154.253,DTXSID2042060,3.11093,0.0502068
DTXSID2042276,o-Ethoxyphenol,94-71-3,CCOC1=C(O)C=CC=C1,e1k,,,,blind test,,,,U-A-S Pass,Pass,U,A,S,CCOC1=C(O)C=CC=C1,CCOC1=C(O)C=CC=C1,C8H10O2,138.166,DTXSID2042276,1.68017,0.0152137
DTXSID4042094,Levomenol,23089-26-1,CC(C)=CCC[C@](C)(O)[C@H]1CCC(C)=CC1,e1k,100.0015,41.00234643,N,training,,,,U-A-S Pass,Pass,U,A,S,CC(C)=CCC[C@](C)(O)[C@H]1CCC(C)=CC1,CC(C)=CCCC(C)(O)C1CCC(C)=CC1,C15H26O,222.372,DTXSID4042094,4.72117,0.00736671
DTXSID9021348,Thiourea,62-56-6,NC(N)=S,e1k,,,,leaderboard,<100 Mas,,,U-A-S Pass,Pass,U,A,S,NC(N)=S,NC(N)=S,CH4N2S,76.12,DTXSID9021348,-1.04933,0.00279635
DTXSID6028022,1-(Bromomethyl)-3-phenoxybenzene,51632-16-7,BrCC1=CC=CC(OC2=CC=CC=C2)=C1,e1k,,,,blind test,,,,U-A-S Pass,Pass,U,A,S,BrCC1=CC=CC(OC2=CC=CC=C2)=C1,BrCC1=CC=CC(OC2=CC=CC=C2)=C1,C13H11BrO,263.134,DTXSID6028022,4.628,0.00103317
