,CrippenLogP,nHBAcc,nHBDon,naAromAtom,C1SP3,C1SP2,VE1_DzZ,maxdssC,hmin,hmax,ZMIC1,ZMIC2,ZMIC3,ZMIC4,ZMIC5,ATSC0c,ATSC1c,ATSC2c,ATSC3c,ATSC4c,ATSC5c,ATSC0m,ATSC1m,ATSC2m,ATSC3m,ATSC4m,ATSC5m,ETA_dAlpha_A,ETA_Shape_Y,ETA_BetaP_s,ETA_Beta_ns_d
DTXSID1024338,1.9902799999999996,8,4,6,0,0,6.38378239159465e-16,0.6899910766775847,0.2994018778609187,0.7372788996591506,49.66399585264429,43.3953236262554,42.43091251450327,42.43091251450326,42.43091251450326,0.8881166975802114,-0.7827368539527452,0.6631809427132727,-0.4682165621327562,0.2270311361231728,0.0669498207676267,2353.361566222221,-27.982631111110205,529.4754145432105,-883.5117512222212,371.23103291358126,485.42068797530897,0.0,0.28302,0.65909,1.0
DTXSID2034625,5.632360000000005,3,0,18,2,3,0.0410238532213169,0.2217484491118151,-0.0994416887125222,0.8746879636628315,54.773257484714456,41.02562734971456,33.385526826807904,30.501880212239595,29.05532630582433,0.9928821990477412,-0.3393159353168398,-0.4118981213377871,0.0536214640165642,0.3138204627860456,0.1969298086369874,2342.1250297190504,102.42807436091996,139.99676539919977,550.8564531976125,-267.8154339660272,-226.42875634729396,0.0,0.30474,0.6875,2.0
DTXSID8023846,0.4938900000000001,4,1,0,1,1,0.433105901419056,0.0,0.1095961934156378,0.9317772633744856,23.46599974121248,22.495290764884405,22.495290764884405,22.495290764884405,17.741169860508307,0.4553911475913003,-0.3766003525260579,0.3960124154352334,-0.3171084589939039,0.0705962995814079,0.0249556281470096,1861.123155485412,781.441519437941,390.5548377283423,-1262.3822493793332,-1300.4350105275405,-719.64494008719,0.02333,0.09554,0.625,0.0
DTXSID7032553,4.940090000000002,1,0,12,4,0,0.1606963607722422,0.0,0.1355146132527085,1.5089816249617387,50.53152845588145,41.24094621550274,40.19728363210803,40.3633800368524,40.19728363210802,0.6282652525627483,-0.1989708254980303,-0.0653067136353795,0.0101024602868739,0.0408711724896415,-0.3453522370556189,2186.8787341212137,51.57128204758709,607.3670737974061,297.0948600691928,-883.0979181237151,382.4657621048125,0.0,0.37932,0.64286,1.5
DTXSID6032649,3.051170000000003,5,0,0,4,3,0.1208261938875926,1.1714339592586347,-0.1031604308390026,0.9360048185941044,39.11886092163267,31.7038772400992,31.55633806278837,31.55633806278837,31.55633806278837,0.5997927248328072,-0.3731567742551265,0.2295242278869743,-0.3667181380491779,0.4526022904155402,-0.3437368394677457,1744.9795082448986,96.94726688796555,585.5137310608096,-301.91574768138054,697.9632066780496,-925.3721649733436,0.0,0.39169,0.625,0.0
DTXSID1022265,3.7480800000000025,3,0,6,3,1,0.0764031675854565,0.1768227023319615,0.0699845679012345,0.7658873456790123,32.61438928879869,27.747207982156684,27.46491725722816,27.46491725722816,27.46491725722816,0.4174120151170042,-0.1640941028834697,-0.0507396290127906,-0.0122249579386951,-0.0154124416336765,0.0714927462816003,2089.713699710527,39.19629000000143,-82.73642404224248,602.1856923234085,-49.51025440096788,-510.12266138781024,0.0,0.27332,0.59722,0.5
DTXSID8022292,6.434670000000004,2,0,12,3,2,0.0742264720434306,1.567102080036715,-0.1411696113630638,0.7945306594860166,55.41101572582777,40.82184654133492,34.28887550296621,32.153807427596725,31.89664252938504,0.4908022642908356,-0.2785888185855966,0.0715775798442378,-0.0299635583632162,0.0685337270317907,-0.1265314084520261,3002.7790208695665,52.520192049150864,861.8526952703224,-948.5071418601116,875.0032586710746,-476.7535441247625,0.0,0.27072,0.60577,0.5
DTXSID3023897,3.9777800000000023,4,0,11,4,0,0.0248727045250502,0.0,-0.164644204389575,1.0354683169564125,35.33533099992564,31.063493063167755,30.581287507291687,30.581287507291684,30.581287507291687,0.4778010822780647,-0.2143660959030252,-0.1130518022620471,0.1556618803285073,-0.0239480288711535,-0.0210619137838527,1996.2466447500008,64.92330756250078,502.1631954375008,-883.0688188749979,554.0687096874993,166.9708821250009,0.0,0.2505,0.6375,1.0
DTXSID9020827,5.6899900000000025,0,0,12,1,0,6.106226635438361e-16,0.0,0.1041583994708995,0.5659362139917695,59.22508048093477,52.498331615952246,51.45839828133686,51.45839828133687,51.45839828133687,0.4487259455202683,-0.1800468253372008,-0.0638489221269648,-0.0017602613758792,0.0490183875771921,0.0395804400580808,3286.905544222221,25.02741649382811,2094.7121560617297,-648.9793962839498,425.3660921481487,-1033.0752646913602,0.01474,0.23128,0.60714,1.0
DTXSID8023848,3.6585100000000015,3,0,6,5,1,0.2027688678166321,0.1768227023319615,-0.011816823437194,0.7658873456790123,31.58872796876388,24.196976124485165,23.126965130372337,23.566326584812916,22.540665264778102,0.413004412854296,-0.1727101825356568,-0.0156106740324789,-0.0400460358234445,-0.0212532297958863,0.0807461047605704,2089.713699710527,39.19629000000141,-38.85646004224242,475.26605529709263,-134.86464818697914,-260.37055583171593,0.0,0.27332,0.59722,0.5
DTXSID0037495,1.3493800000000002,5,2,6,2,0,0.4040541349626899,0.0,0.2680204046639231,0.626724930713026,27.683272361121173,22.84205652768833,21.18568888620359,22.84205652768833,21.53974402027116,0.462067950214565,-0.4715109388458784,0.519193090789178,-0.5446075873346365,0.4460741629757368,-0.2101220663933288,1380.9029769473686,-25.731171368421528,510.3034572409971,387.7394159833797,329.71829170360087,-1090.0714638282554,0.0,0.28767,0.72727,1.5
DTXSID1023998,6.3300700000000045,3,0,12,2,2,0.073934299783356,1.5039846648607682,-0.1967251669186196,1.0306417705971276,55.71272136531477,41.53446024965108,35.0559898155149,32.94390373215112,32.689569840657086,0.5936999978470814,-0.3071396744014885,0.0305533454478803,0.0385545884776524,-0.0356819668292181,-0.1408402572668892,2983.301253319145,45.04341190131332,862.8167916627447,-831.8607546985056,1028.792711141693,-494.4139680832951,0.0,0.28926,0.60714,0.5
DTXSID8024280,3.7174900000000015,5,0,11,3,0,0.226733485803433,0.0,-0.3546775006298817,0.8151320301783266,38.91554355857479,30.035693183084778,27.266210686352707,26.70269592174594,26.25531769593355,0.545127775307748,-0.2271074340224765,-0.0713220065010022,-0.0507490763540973,0.1605483479088835,-0.1558000274251825,2792.227426358977,76.57767367390026,283.1942959434597,-247.2736492827093,1134.6187885358322,-160.7906334240639,0.0,0.22232,0.67045,1.0
DTXSID7020182,3.561590000000003,0,2,12,2,0,1.861949412841179e-16,0.0,0.177250566893424,0.5887270880574453,44.59057676819374,38.51410189192638,37.50135607921516,37.50135607921516,37.50135607921516,0.4286860524128347,-0.2479611991871236,0.0508828977580114,-0.0050917044484848,-0.0618243459114023,0.0118519429834945,1112.8584567272728,-21.19785990082705,242.84318682644556,-583.479227735538,-626.6848825041322,188.73411186776943,0.0,0.2449,0.55882,1.0
DTXSID9020243,3.07358,3,0,0,0,2,0.3682285795405512,0.2095344650205763,0.0320833333333333,0.5949331275720166,47.382456775671095,46.70325885960538,46.70325885960539,46.70325885960539,46.70325885960538,0.4459371265642403,-0.2534713872111244,0.0816426199934889,0.0088341005395887,-0.1762778873078261,0.1563577018661286,3048.124831833333,27.946022090277843,3279.332789486112,1549.8697091666631,560.8393358958308,29.51757711111213,0.03393,0.28094,0.64063,0.0
DTXSID9021976,1.55849,1,1,6,2,0,0.2747584084949349,0.0,0.160972222222222,0.7248912273242631,28.314073498895198,23.297037460076368,20.057371396555972,19.70621890290302,19.706218902903025,0.3765209148074936,-0.1537900867231255,-0.1012132984675084,0.1277546577469667,-0.086797699145125,0.016789108817344,721.7174322000001,-3.180828800000498,-228.7249702200005,-33.44839287999996,-146.50490268,-65.26673554999982,0.0,0.10714,0.575,0.5
