,CrippenLogP,nHBAcc,nHBDon,naAromAtom,C1SP3,C1SP2,VE1_DzZ,maxdssC,hmin,hmax,ZMIC1,ZMIC2,ZMIC3,ZMIC4,ZMIC5,ATSC0c,ATSC1c,ATSC2c,ATSC3c,ATSC4c,ATSC5c,ATSC0m,ATSC1m,ATSC2m,ATSC3m,ATSC4m,ATSC5m,ETA_dAlpha_A,ETA_Shape_Y,ETA_BetaP_s,ETA_Beta_ns_d
DTXSID6042232,2.3865900000000013,2,1,0,3,1,0.0254826517750758,0.0,0.2746332908163265,0.5692718175233057,26.49276092046269,21.318044526787844,19.146146483360877,25.887108538576364,27.146318691986814,0.3441861394805924,-0.1441996911964012,0.0292032606337964,-0.1165851920435819,0.0719958270291777,-0.0165375130534622,1047.5152474999995,-61.37440864062613,53.15275878124916,-922.8380936093756,402.81570387500096,-67.29072817187472,0.0,0.08824,0.5,0.0
DTXSID9022817,-0.9965899999999994,9,9,12,2,1,0.1208861031087447,0.0,-0.2634228692433509,1.1687274029982364,66.09862623257895,43.20981434129963,31.040747651062198,27.555945841655813,27.41844185207309,2.421306002038844,-1.1299305695565576,-0.3107572627130346,0.1780617983680796,0.172499759626932,-0.1843638144058683,2113.5900037090905,-244.8850173659504,135.32824996760365,417.21701894578536,112.66548805752106,-757.911337572893,0.0,0.61957,0.64286,2.0
DTXSID3026691,0.2781899999999999,6,0,0,5,3,7.771561172376097e-16,0.0,0.1552777777777776,0.909375,39.74009657813647,36.56966245026758,34.67298766253932,30.24741315784007,29.369940632315338,0.7616272109716001,-0.4657122163117803,0.205842909568214,-6.960871920173167e-05,-0.2875432764995483,0.2754171367432111,1206.567852206897,33.54837097265124,428.6324876230679,-943.9798167776466,-415.1083246872773,334.3751062342453,0.0,0.30769,0.61667,0.0
DTXSID0024052,2.16879,4,0,0,4,0,0.0080089820862366,0.2082047325102884,0.2395190329218106,0.9915123456790124,40.86546816796545,40.55098824833748,40.55098824833748,40.55098824833748,40.55098824833748,0.2911546836021312,-0.10187080548964,0.0891631417066562,-0.050126619358172,-0.2499346328431796,0.1519974248478121,1945.7541770909104,614.979380727272,170.2236400991731,-1445.24909194215,-2020.2001516859516,830.2697112148771,0.0,0.16667,0.58333,0.0
DTXSID9040001,1.1397900000000003,4,1,6,0,2,0.1015608716269071,0.0,0.3093055555555556,0.7505555555555555,31.69592572361676,27.146447372820298,27.33603283244756,25.249002208269097,24.109803435517296,0.5787135675524778,-0.3438179854580501,0.1268600115179928,-0.0211454657243951,-0.2830756673715852,0.4068514779101145,784.7935440000002,-16.506332000000228,111.11603899999984,87.20847099999986,-263.6856180000002,-289.1553100000001,0.0,0.34286,0.59615,0.0
DTXSID6034186,5.012380000000006,4,0,0,3,2,0.0869137086823006,1.3632939132443105,-0.394955725441386,0.5421046959493929,50.2595595458988,30.40398694031016,24.37120686798988,23.986847872899656,23.98684787289966,0.5320078173490008,-0.2976731947278003,0.1689521302392978,-0.0687661442554831,-0.1446551639956738,0.0680163207093111,2701.7232481967185,231.96471446251348,902.2821261021274,-1481.2198858580998,-1571.7432959631858,928.813311314694,0.0,0.28235,0.61207,0.0
DTXSID5026259,3.0462,4,0,0,6,0,8.881784197001252e-16,0.0,-0.1960939643347052,1.3765534979423864,51.441644176891685,55.38898821160877,51.3303636747161,55.388988211608776,53.89743140323032,0.6544037166976782,-0.5497535931939317,0.4130751193742933,-0.0470008377398055,-0.2134727929635234,0.0248069479315713,4004.380733173537,478.0612013508865,-331.0355555570952,-83.30722059337829,-1882.354568205623,-984.5487073900686,0.02801,0.16711,0.61765,0.0
DTXSID0022436,3.269790000000003,2,3,12,1,1,7.959128148216088e-16,0.0,0.2102366780045351,0.6529818594104309,47.476018450905045,37.53627641750812,36.20269135667348,36.20269135667349,36.2026913566735,0.7266472459748786,-0.4646527861065547,0.1831396865923973,-0.0673208075357015,-0.0987081294853295,0.0650787063996275,1392.519137897436,-53.97440666403504,154.10340886587954,-664.4226466784994,-805.3455952978302,531.922909659433,0.0,0.25424,0.57143,1.0
DTXSID4027282,3.1014,0,0,6,0,0,0.232839341542661,0.0,0.0080435528120713,0.4138751714677641,37.914591629851365,35.383997687423815,34.38364031422765,34.60760651737113,34.60760651737113,0.0629268751171752,-0.0320116823007132,-0.0083995591908545,0.0099773400736753,0.0065156410817484,-0.00035407197032713816,2055.318606605741,859.6097358539082,545.2011094685486,120.93179736528612,-979.9987398059908,-1039.5677217318944,0.10318,0.27632,0.55556,0.5
DTXSID9027441,5.3308900000000055,1,1,12,2,0,0.5051329198989233,0.0,-0.0981778313177121,0.6074363959503299,55.21114401695389,36.45109162471073,27.458765883440908,26.65287111451594,26.977152823889096,0.5271975868925076,-0.1950072198124323,-0.0764239552569808,-0.1211810552265834,0.2731835203395571,-0.2212254733792857,1692.6589660800014,29.9020952784028,-107.26360350239705,532.9599630880002,352.59429085600004,76.84546198719973,0.0,0.21739,0.5625,1.0
