DTXSID,Chemical,CASRN,SMILES,Library,Max conc,Median % activity,Tested in CR?,,,,
DTXSID1024338,Thiophanate-methyl,23564-05-8,COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1,ph1_v2,99.9985,48.3046104,N,,,,
DTXSID2034625,Fluoxastrobin,361377-29-9,CO\N=C(\C1=NOCCO1)C1=C(OC2=NC=NC(OC3=CC=CC=C3Cl)=C2F)C=CC=C1,ph1_v2,100,88.1985106,Y,,,,
DTXSID8023846,Acephate,30560-19-1,COP(=O)(NC(C)=O)SC,ph1_v2,100,7.214611872,N,,,,
DTXSID7032553,Flumetralin,62924-70-3,CCN(CC1=C(Cl)C=CC=C1F)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,ph1_v2,100.0025,61.07821476,N,,,,
DTXSID8031865,Perfluorooctanoic acid,335-67-1,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph1_v2,150,103.5469141,Y,,,,
DTXSID6032649,Tetramethrin,7696-12-0,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,ph1_v2,100.0025,28.11901606,N,,,,
DTXSID1022265,Alachlor,15972-60-8,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,ph1_v2,100.002,39.65095788,N,,,,
DTXSID4032613,Fenitrothion,122-14-5,COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,ph1_v2,100,98.41964641,Y,,,,
DTXSID8022292,Permethrin,52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1,ph1_v2,99.999,30.38485589,N,,,,
DTXSID3023897,Triadimefon,43121-43-3,CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,ph1_v2,99.9985,4.659996608,N,,,,
DTXSID1020560,Endosulfan,115-29-7,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,ph1_v2,100.002,16.44590984,N,,,,
DTXSID9020827,Methoxychlor,72-43-5,COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,ph1_v2,100.0025,23.80615702,N,,,,
DTXSID8023848,Acetochlor,34256-82-1,CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C,ph1_v2,99.998,51.42730888,N,,,,
DTXSID0037495,Deisopropylatrazine,1007-28-9,CCNC1=NC(N)=NC(Cl)=N1,ph1_v2,100,20.24758352,N,,,,
DTXSID1023998,Cypermethrin,52315-07-8,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,ph1_v2,100.007,66.34559946,N,,,,
DTXSID6032352,Chlorpyrifos-methyl,5598-13-0,COP(=S)(OC)OC1=NC(Cl)=C(Cl)C=C1Cl,ph1_v2,100.003,99.64754704,Y,,,,
DTXSID9034492,"4-Chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide",120116-88-3,CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N,ph1_v2,100.001,103.3406817,Y,,,,
