,PACT_CLASS,PACT_MED,CR_TESTED
DTXSID1024338,5,48.3046104,N
DTXSID2034625,9,88.1985106,Y
DTXSID8023846,1,7.214611872,N
DTXSID7032553,6,61.07821476,N
DTXSID6032649,3,28.11901606,N
DTXSID1022265,4,39.65095788,N
DTXSID8022292,3,30.38485589,N
DTXSID3023897,1,4.659996608,N
DTXSID9020827,3,23.80615702,N
DTXSID8023848,5,51.42730888,N
DTXSID0037495,2,20.24758352,N
DTXSID1023998,7,66.34559946,N
DTXSID8024280,4,33.88127854,N
DTXSID7020182,9,96.0434313,Y
DTXSID9020243,9,89.13080553,Y
DTXSID9021976,1,3.302825308,N
DTXSID5034270,2,12.50552364,N
DTXSID6032647,9,96.1798647,Y
DTXSID7024902,3,26.65782884,N
DTXSID4024018,6,62.77768357,N
DTXSID5034303,8,84.15083223,N
DTXSID9032329,2,21.50924199,N
DTXSID8024151,4,40.52732361,N
DTXSID2032390,5,54.1631338,N
DTXSID9020112,1,6.872882604,N
DTXSID2032637,1,3.086805753,N
DTXSID3032547,10,99.25724945,Y
DTXSID6034392,3,29.32338477,N
DTXSID5020607,1,5.612019443,N
DTXSID2024163,6,60.22978347,N
DTXSID0032578,7,67.08793637,N
DTXSID1034634,5,54.5701204,N
DTXSID9020247,8,79.55516276,N
DTXSID2034962,1,1.037815839,N
DTXSID3034612,3,24.78420975,N
DTXSID5020154,10,104.9963176,Y
DTXSID0022018,8,77.55192223,N
DTXSID5032498,10,106.0030698,Y
DTXSID4034609,6,57.40167919,N
DTXSID0032493,1,10.36087789,N
DTXSID5021332,5,49.11769038,N
DTXSID0039223,0,-2.836677847,N
DTXSID4022448,2,21.86913763,N
DTXSID0028038,3,30.08690529,N
DTXSID4021268,1,0.686404478,N
DTXSID2021781,7,70.78803948,N
DTXSID3032549,9,94.46307771,Y
DTXSID8024238,10,103.0129043,Y
DTXSID0020442,8,86.69774316,Y
DTXSID4032376,1,1.146345599,N
DTXSID7034961,1,5.446837375,N
DTXSID8034588,7,66.56265898,N
DTXSID5023900,4,40.41271105,N
DTXSID0034223,3,24.48961555,N
DTXSID4032532,4,33.05024577,N
DTXSID2034465,2,11.17745742,N
DTXSID7024241,6,59.80065538,N
DTXSID0021337,2,21.78864009,N
DTXSID4022020,3,22.64063353,N
DTXSID7021100,8,84.14800655,N
DTXSID9040001,2,15.97760786,N
DTXSID7032470,7,74.60388346,N
DTXSID9023914,1,8.167667941,N
DTXSID6024204,1,10.71272529,N
DTXSID2034627,8,84.47569634,N
DTXSID2024793,8,86.96613872,Y
DTXSID7040362,10,103.9066826,Y
DTXSID5024344,5,46.64050726,N
DTXSID6024175,2,19.92104464,N
DTXSID8034871,6,55.66084107,N
DTXSID3034664,1,4.781540142,N
DTXSID9020407,4,39.14527581,N
DTXSID5032442,2,13.27962862,N
DTXSID6032645,8,79.39662771,N
DTXSID8034401,6,61.37356636,N
DTXSID2021995,5,51.7722556,N
DTXSID0032655,2,15.90182383,N
DTXSID4021395,9,89.20535227,Y
DTXSID4040002,3,28.48443474,N
DTXSID6032641,2,18.74093662,N
DTXSID5034773,6,60.00819224,N
DTXSID3024152,2,14.45931185,N
DTXSID6024177,2,17.39759694,N
DTXSID1032690,4,37.86728564,N
DTXSID2032556,6,55.22392135,N
DTXSID1032482,5,46.68704712,N
DTXSID3022162,10,101.8368449,Y
DTXSID1032488,3,26.16959325,N
DTXSID8034586,4,40.06280721,N
DTXSID0034300,2,16.80741562,N
DTXSID9020160,5,54.81977062,N
DTXSID7024160,5,51.80502458,N
DTXSID2025680,10,98.98715636,Y
DTXSID2032500,9,94.89291009,Y
DTXSID7034676,7,75.60920129,N
DTXSID0034930,1,9.812619068,N
DTXSID6032354,6,57.34298198,N
DTXSID2021151,9,91.73112306,Y
DTXSID0020022,10,102.9043768,Y
DTXSID4022361,9,90.08786147,Y
DTXSID3022455,4,38.16220644,N
DTXSID7032551,10,108.7404655,Y
DTXSID8024317,2,14.55761879,N
DTXSID0032605,9,94.14863053,Y
DTXSID9034816,1,8.037167081,N
DTXSID1032640,5,44.69450297,N
DTXSID6022341,3,26.92013024,N
DTXSID2020420,6,64.76056608,N
DTXSID5032573,3,25.13497109,N
DTXSID9032379,5,44.75036396,N
DTXSID0034227,2,13.35335271,N
DTXSID3023899,4,37.54389325,N
DTXSID0020446,4,34.40273255,N
