,PACT_CLASS,PACT_MED,CR_TESTED
DTXSID6042232,3,28.68346295,N
DTXSID9022817,9,96.2031746,Y
DTXSID3026691,1,4.241607372,N
DTXSID0024052,3,30.12226214,N
DTXSID9040001,2,15.97760786,N
DTXSID6034186,0,-5.935613682,N
DTXSID5026259,2,14.53930685,N
DTXSID0022436,4,43.31008806,N
DTXSID4027282,2,11.18055292,N
DTXSID9027441,9,92.65558002,Y
DTXSID4020119,8,86.84704456,Y
DTXSID8029105,2,12.83411243,N
DTXSID4026684,8,78.7776246,N
DTXSID7042196,0,-11.80964179,N
DTXSID5022489,5,53.52134573,N
DTXSID0020076,0,-0.196551724,N
DTXSID2032558,9,94.02587561,Y
DTXSID9021390,1,10.70079458,N
DTXSID5040708,9,97.67881653,Y
DTXSID9020160,5,54.81977062,N
DTXSID1025148,7,66.23503326,N
DTXSID8024159,8,79.55566314,N
DTXSID4024066,6,60.91954023,N
DTXSID8023632,2,19.04234367,N
DTXSID1033161,0,-5.718374915,N
DTXSID7034545,3,32.11592903,N
DTXSID8034871,6,55.66084107,N
DTXSID5021124,2,11.10268802,N
DTXSID2034881,9,88.88782481,Y
DTXSID4021268,1,0.686404478,N
DTXSID4036435,2,19.53134018,N
DTXSID3034664,1,4.781540142,N
DTXSID1025017,8,80.71197901,N
DTXSID8022589,2,11.27842345,N
DTXSID9020740,10,101.7060932,Y
DTXSID8024284,1,7.866196706,N
DTXSID0022353,10,105.6841264,Y
DTXSID5020281,3,28.03806439,N
DTXSID3034402,4,39.16557518,N
DTXSID6024177,2,17.39759694,N
DTXSID3034456,5,45.90225665,N
DTXSID2032552,7,66.83880685,N
DTXSID5020607,1,5.612019443,N
DTXSID8029159,3,24.12682466,N
DTXSID8032544,4,33.16388284,N
DTXSID9021427,3,26.92473118,N
DTXSID5026918,7,71.31877391,N
DTXSID2021600,4,43.3437267,N
DTXSID3032337,7,73.41149411,N
DTXSID9020370,2,18.79642347,N
DTXSID8022292,3,30.38485589,N
DTXSID1025809,9,98.16500207,Y
DTXSID3025049,1,10.32022828,N
DTXSID6032645,8,79.39662771,N
DTXSID1020144,6,57.36860588,N
DTXSID7032559,6,57.3608084,N
DTXSID8026694,1,10.14096916,N
DTXSID4024195,8,79.41326693,N
DTXSID8026773,0,-5.782547074,N
DTXSID6048175,4,33.11058075,N
DTXSID9032113,3,25.51388567,N
DTXSID1023819,1,9.777672338,N
DTXSID6024337,4,40.64786123,N
DTXSID7025132,6,55.98698153,N
DTXSID8021062,1,8.039673978,N
DTXSID5047611,1,10.64009268,N
DTXSID0039223,0,-2.836677847,N
DTXSID2047274,3,22.25274725,N
DTXSID5032573,3,25.13497109,N
DTXSID8029153,9,88.20068133,Y
DTXSID7024241,6,59.80065538,N
DTXSID7020005,3,23.578261,N
DTXSID1025805,4,40.31512208,N
DTXSID1027429,5,44.92612338,N
DTXSID9020112,1,6.872882604,N
DTXSID7021788,10,108.7958884,Y
DTXSID3021932,2,14.55197133,N
DTXSID9047540,8,85.29870343,Y
DTXSID8034588,7,66.56265898,N
DTXSID2029616,1,3.6200186,N
DTXSID7032630,7,72.99598466,N
DTXSID0029133,4,36.71860899,N
DTXSID9021217,4,43.57184951,N
DTXSID9032531,5,44.44159343,N
DTXSID9044825,8,81.69515205,N
DTXSID7037551,1,6.870161338,N
DTXSID9040716,4,39.67257509,N
DTXSID7024902,3,26.65782884,N
DTXSID7026285,3,28.93468067,N
DTXSID6042074,8,80.47159799,N
DTXSID1032690,4,37.86728564,N
DTXSID7032470,7,74.60388346,N
DTXSID4020959,8,80.82875841,N
DTXSID5020366,1,8.734220403,N
DTXSID2021866,1,9.919239286,N
DTXSID0020943,7,68.97960366,N
DTXSID3020966,3,29.07449577,N
